"id","author","created","text","parent"
"48378808","bsder","2026-06-03T01:47:03Z","That hyperbolic tree looks very close to what my faulty memory recalls.<p>I suspect it was a later incarnation that I used.","48369370"
"48378796","bsder","2026-06-03T01:45:48Z","No offense was taken.  It&#x27;s always good to hear from the people who actually did stuff to set the record straight.<p>&gt; It was a fun place to be.<p>It was.  I was in the hardware side during the Hostile Giveaway(tm) to Intel and Compaq.<p>Good luck with your cat.","48369496"
"48376936","randbyte","2026-06-02T22:01:39Z","You examples are great… at supporting my points. CRWD ipo’ed at 7bn and NET at 5bn. Unlike the mega IPOs like abnb and uber and now 10x worse spacex. There is very limited upside left after high valuation milking.","48371610"
"48375612","jms703","2026-06-02T20:14:36Z","How do I keep my 401k from investing in AI stocks...","48358646"
"48374615","mrguyorama","2026-06-02T18:57:18Z","How does Stripe need funding anyway, aren&#x27;t they just a payment network with a low effort risk platform? It really shouldn&#x27;t be hard for them to have reliable, sustainable, predictable finances.<p>Jeeze 8500 employees. Even then though.","48362259"
"48374205","throw0101c","2026-06-02T18:28:05Z","&gt; <i>Yes, it might be true that many 80% of people think they&#x27;re above the median skill, but that doesn&#x27;t mean there aren&#x27;t actual above average drivers out there.</i><p>An observation form Nick Maggiulli:<p>&gt; <i>Instead, I am going to argue that you shouldn’t pick stocks because of the</i> existential dilemma <i>of doing so. The existential dilemma is</i> simple—how do you know if you are good at picking individual stocks? <i>In most domains, the amount of time it takes to judge whether someone has skill in that domain is relatively short.<p>&gt; </i>For example, any competent basketball coach could tell you whether someone was skilled at shooting within the course of 10 minutes. Yes, it’s possible to get lucky and make a bunch of shots early on, but eventually they will trend toward their actual shooting percentage. The same is true in a technical field like computer programming. Within a short period of time, a good programmer would be able to tell if someone doesn’t know what they are talking about.*<p>[…]<p>&gt; <i>But, what about stock picking? How long would it take to determine if someone is a good stock picker?</i><p>&gt; <i>An hour? A week? A year?</i><p>&gt; <i>Try multiple years, and</i> even then <i>you still may not know for sure. The issue is that causality is harder to determine with stock picking than with other domains. When you shoot a basketball or write a computer program, the result comes </i>immediately* after the action. The ball goes in the hoop or it doesn’t. The program runs correctly or it doesn’t.* But, with stock picking, you make a decision now and have to wait for it to pay off. The feedback loop can take years.<p>&gt; <i>And the payoff you do eventually get has to be compared to the payoff of buying an index fund like the S&amp;P 500. So, even if you make money on absolute terms, you can still lose money on relative terms.</i><p>&gt; <i>More importantly though, the result that you get from that decision may have nothing to do with why you made it in the first place. For example, imagine you bought GameStop in late 2020 because you believed that the price would increase as a result of the company improving its operations. Well, 2021 comes along and the price of GameStop surges due to the wallstreetbets inspired short squeeze. You received a positive result that had</i> nothing <i>to do with your original thesis.</i><p>[…]<p>&gt; <i>This is the existential crisis that I am talking about.</i> Why would you want to play a game (or make a career) out of something that you can’t prove that you are good at? <i>If you are doing it for fun, that’s fine.  Take a small portion of your money and have at it. But, for those that aren’t doing it for fun, why spend so much time on something where your skill is so hard to measure?</i><p>[…]<p>&gt; <i>I know I won’t convince every stock picker to change their ways, and that’s a good thing. We need people to keep analyzing companies and deploying their capital accordingly. However, if you are on the fence about it, this is your wake up call. Don’t keep playing a game with so much luck involved. Life already has enough luck as it is.</i><p>* <a href=""https:&#x2F;&#x2F;ofdollarsanddata.com&#x2F;why-you-shouldnt-pick-individual-stocks&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;ofdollarsanddata.com&#x2F;why-you-shouldnt-pick-individua...</a>","48371873"
"48373462","icedchai","2026-06-02T17:38:29Z","There were many search engines around during that time. Yahoo, Excite, Microsoft Live Search, Lycos... I don&#x27;t recall any of them improving enough to rival early 2000&#x27;s Google.","48373303"
"48373337","jhy17632","2026-06-02T17:30:29Z","anthropic are so hot right now","48358646"
"48373303","ethbr1","2026-06-02T17:28:18Z","But that only would have lasted until the next search innovation and&#x2F;or competitors copied Google&#x27;s indexing.","48372145"
"48372942","dmoy","2026-06-02T17:01:20Z","I mean, idk what&#x27;s in your 401k fund choices, but in all mine I&#x27;d have to take serious manual effort to get <i>in</i> to QQQ or equivalent","48363061"
"48372515","troyvit","2026-06-02T16:32:59Z","&gt; &#x27;retail&#x27; investors are going to have perhaps 5% of their portfolio in it.<p>If they are the only moonshot style companies in their portfolio, and if they crater that&#x27;s the physical equivalent of a 160lb person carrying a gallon of milk around with them wherever they go. At least until they&#x27;ve drunk it I guess.<p>Lots of &quot;ifs&quot; in that sentence now I read it back though.","48363873"
"48372313","chilipepperhott","2026-06-02T16:19:01Z","Sure, but how often do they rebalance the fund?","48360118"
"48372145","icedchai","2026-06-02T16:08:45Z","I remember late 90&#x27;s, early 2000&#x27;s Google. Search result quality was still better than the competition (mainly Altavista...)","48369477"
"48372095","gizajob","2026-06-02T16:06:25Z","Right, got it. Thanks for the info.","48365616"
